"","eu_rnpa","economic_unit","vessel_rnpa","vessel_name","owner_rnpa","owner_name","hull_identifier","home_port","construction_year","hull_material","preservation_system","gear_type","detection_gear","vessel_type","vessel_length_m","vessel_beam_m","vessel_height_m","vessel_draft_m","vessel_gross_tonnage","captain_num","engineer_num","s_fisher_num","engine_power_hp","engine_power_bin_hp","design_speed_kt"
"1829","2808007922","RAUL ALEJANDRO RUIZ ZORRILLA","00064527","ISA","2808007922","RAUL ALEJANDRO RUIZ ZORRILLA","28040063233","TAMPICO","1987","ACERO","REFRIGERACIÓN | SALMUERA","ARRASTRE","ECOSONDA | VIDEOSONDA","COMERCIAL","25.38","6.75","3.4","3","18","1","1","2",402,402,10.8380754339523
"1830","2808007963","PESQUERA ORCA, S.A. DE C.V.","00028449","MEJOR2","2808007963","PESQUERA ORCA, S.A. DE C.V.","28040139237","TAMPICO","1968","ACERO","REFRIGERACIÓN | SALMUERA","ARRASTRE","ECOSONDA | VIDEOSONDA","COMERCIAL","24.3","6.71","3.66","2.4","20","1","1","1",520,500,10.9413435696085
"1831","0203126537","KING FISHER S DE RL DE CV","00047498","KUNIMATSU3","0203012547","FRESCATUN SA DE CV","2012459257","ENSENADA","1989","FIBRA DE VIDRIO","REFRIGERACIÓN","OTRO | OTRO | OTRO","VIDEOSONDA","COMERCIAL","42.52","7.5","3.15","3.1","220","1","1","1",900,900,11.2698611139675
"1832","0203126537","KING FISHER S DE RL DE CV","00060103","IWA","0203015276","ARMANDO WALDO GONZALEZ BACA","2012443205","ENSENADA","1995","ACERO","HIELO | CONGELACIÓN","OTRO | OTRO | OTRO","ECOSONDA | VIDEOSONDA","COMERCIAL","21.86","6.4","3.53","2.5","40","1","1","1",402,402,10.8380754339523
"1833","2508006778","PESQUERA JUSAJELI, SA DE CV","00010660","DONAGUSTIN12","2508006778","PESQUERA JUSAJELI, SA DE CV","25031148235","MAZATLAN","1999","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.7","6.75","3.7","2.15","25","1","1","2",455,450,10.8845321410207
"1834","2508006778","PESQUERA JUSAJELI, SA DE CV","00011346","DONAGUSTIN14","2508006778","PESQUERA JUSAJELI, SA DE CV","25032456233","MAZATLAN","1978","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.5","6","3.6","1.6","25","1","1","2",425,425,10.8582506253683
"1835","2508006778","PESQUERA JUSAJELI, SA DE CV","00010652","PEZDEACERO12","2508006778","PESQUERA JUSAJELI, SA DE CV","25032459231","MAZATLAN","1974","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","6.2","3.25","1.5","20","1","1","2",365,365,10.8055722873817
"1836","2508006778","PESQUERA JUSAJELI, SA DE CV","00010686","PEZDEACERO13","2508006778","PESQUERA JUSAJELI, SA DE CV","25032461239","MAZATLAN","1974","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22","6.2","3.25","1.5","20","1","1","2",365,365,10.8055722873817
"1837","0901001188","ERM MÉXICO, S.A. DE C.V.","01001188","RIVIERAMAYA","0901001188","ERM MÉXICO, S.A. DE C.V.","2304064037-0","PROGRESO","2012","ALUMINIO","CONGELACIÓN","OTRO | OTRO","RADIO MULTIBANDA | SONAR","FOMENTO","28.21","6.72","3.07","1.5","136","1","1","1",700,700,11.0977258544637
"1838","3108000096","SCPP PESCADORES DE SISAL SC DE RL","00073189","EMPACADOR11","3108000096","SCPP PESCADORES DE SISAL SC DE RL","31012861232","YUCALPETEN","1975",NA,"HIELO","PALANGRE","VIDEOSONDA","COMERCIAL","12","4","0","2","0","1","1","0",139,125,10.6057703693582
